Hero,Advantage,Win Rate,Matches
Outworld Destroyer,3.80%,45.36%,"36,360"
Batrider,3.50%,55.84%,"3,433"
Timbersaw,3.47%,48.03%,"23,561"
Leshrac,3.46%,52.05%,"4,976"
Primal Beast,3.37%,50.93%,"14,160"
Spectre,3.30%,48.17%,"38,709"
Necrophos,3.11%,48.09%,"43,103"
Witch Doctor,3.07%,44.85%,"69,967"
Venomancer,3.02%,46.74%,"26,833"
Beastmaster,2.92%,53.89%,"3,023"
Hero,Advantage,Win Rate,Matches
Outworld Destroyer,3.80%,45.36%,"36,360"
Batrider,3.50%,55.84%,"3,433"
Timbersaw,3.47%,48.03%,"23,561"
Leshrac,3.46%,52.05%,"4,976"
Primal Beast,3.37%,50.93%,"14,160"
Spectre,3.30%,48.17%,"38,709"
Necrophos,3.11%,48.09%,"43,103"
Witch Doctor,3.07%,44.85%,"69,967"
Venomancer,3.02%,46.74%,"26,833"
Beastmaster,2.92%,53.89%,"3,023"
